face_detected,head_tilt_angle,shoulder_position,posture_label
1,9.52,0.63,Distracted
1,19.93,0.72,Distracted
1,11.96,0.72,Distracted
0,36.63,0.12,Idle
0,20.79,0.32,Idle
1,2.48,0.92,Working
1,13.61,0.69,Distracted
1,5.31,0.55,Distracted
1,4.98,0.62,Distracted
1,8.42,0.42,Distracted
1,22.66,0.62,Distracted
1,9.53,0.82,Working
1,7.72,0.47,Distracted
1,14.85,0.94,Distracted
1,21.88,0.6,Distracted
1,20.8,0.55,Distracted
1,5.26,0.82,Working
1,3.59,0.73,Working
0,23.93,0.1,Idle
1,20.78,0.74,Distracted
1,13.96,0.86,Distracted
1,0.57,0.64,Distracted
1,19.68,0.46,Distracted
0,27.3,0.35,Idle
1,1.05,0.75,Working
1,1.1,0.62,Distracted
1,10.36,0.53,Distracted
1,26.79,0.94,Distracted
1,11.32,0.83,Distracted
1,22.94,0.89,Distracted
0,33.69,0.37,Idle
1,25.53,0.79,Distracted
1,29.8,0.99,Distracted
1,5.64,0.82,Working
1,19.25,0.95,Distracted
1,14.98,0.72,Distracted
0,25.7,0.26,Idle
1,24.07,0.96,Working
1,29.88,0.69,Distracted
1,22.89,0.79,Distracted
1,2.22,0.4,Distracted
1,12.61,0.82,Distracted
1,13.92,0.78,Distracted
1,22.6,0.41,Distracted
1,19.86,0.81,Distracted
1,17.39,0.72,Distracted
1,23.35,0.42,Distracted
0,29.43,0.34,Idle
1,7.95,0.63,Distracted
1,23.38,0.84,Distracted
1,20.35,0.92,Distracted
1,17.76,0.67,Distracted
1,14.7,0.86,Distracted
1,28.24,0.4,Distracted
1,28.55,0.75,Distracted
1,19.68,0.87,Distracted
1,17.91,0.48,Distracted
1,2.93,0.68,Distracted
1,6.08,0.66,Distracted
1,9.81,0.76,Working
1,8.33,0.71,Working
0,24.56,0.14,Idle
1,13.93,0.64,Distracted
1,10.67,0.65,Distracted
1,0.43,0.61,Distracted
1,8.51,0.67,Distracted
1,22.81,0.92,Distracted
0,31.63,0.12,Idle
0,20.47,0.14,Idle
1,25.65,0.59,Distracted
1,8.18,0.81,Working
1,9.99,1.0,Working
1,20.02,0.95,Distracted
1,12.59,0.65,Distracted
1,1.29,0.7,Distracted
1,14.88,0.93,Distracted
1,2.69,0.47,Distracted
1,23.24,0.81,Distracted
1,11.86,0.6,Distracted
1,10.45,0.67,Distracted
1,22.73,0.83,Distracted
1,13.35,0.57,Distracted
1,7.76,0.9,Working
0,23.64,0.25,Idle
1,26.35,0.4,Distracted
1,19.15,0.49,Distracted
1,7.39,0.56,Distracted
0,31.94,0.29,Idle
1,5.04,0.98,Working
1,17.96,0.83,Distracted
1,19.86,0.78,Distracted
0,35.4,0.36,Idle
1,23.45,0.75,Working
1,11.41,0.81,Distracted
0,39.31,0.27,Idle
1,13.46,0.94,Distracted
1,29.89,0.9,Distracted
1,29.24,0.88,Distracted
0,33.74,0.17,Idle
1,6.9,0.72,Working
1,21.63,0.69,Distracted
1,28.23,0.98,Distracted
0,33.28,0.1,Idle
1,25.72,0.85,Working
1,28.77,0.73,Distracted
1,5.18,0.73,Working
1,7.05,0.72,Working
1,22.77,0.96,Distracted
1,15.84,0.76,Distracted
1,4.24,0.49,Distracted
1,9.2,0.43,Distracted
1,0.48,0.77,Working
0,26.38,0.28,Idle
0,39.76,0.29,Idle
1,1.24,0.79,Working
1,0.24,0.69,Distracted
0,33.51,0.35,Idle
1,6.92,0.58,Working
1,21.84,0.85,Distracted
1,2.35,0.74,Working
0,33.31,0.24,Idle
0,27.79,0.14,Idle
1,3.61,0.63,Distracted
1,12.13,0.66,Distracted
1,23.98,0.74,Distracted
1,8.12,0.41,Distracted
1,16.65,0.46,Distracted
1,21.9,0.55,Distracted
1,12.09,0.71,Working
1,2.26,0.98,Working
1,18.37,0.79,Distracted
1,28.49,0.58,Distracted
1,1.94,0.96,Working
0,22.74,0.24,Idle
0,33.47,0.33,Idle
1,0.22,0.72,Working
1,18.33,0.55,Distracted
0,28.96,0.36,Idle
1,27.08,0.62,Distracted
1,25.59,0.7,Distracted
1,11.95,0.96,Distracted
1,21.03,0.94,Distracted
1,27.57,0.79,Distracted
1,15.6,0.61,Distracted
1,14.48,0.52,Distracted
1,8.58,0.41,Distracted
1,22.8,0.47,Distracted
1,28.7,0.41,Distracted
1,20.7,0.91,Distracted
1,0.58,0.43,Distracted
1,27.71,0.61,Distracted
0,26.13,0.37,Idle
1,24.3,0.86,Distracted
1,28.77,0.48,Distracted
1,4.06,0.58,Distracted
0,36.3,0.12,Idle
1,6.07,0.49,Distracted
1,16.72,0.89,Distracted
0,26.34,0.28,Idle
1,9.47,0.54,Distracted
1,29.47,0.75,Distracted
1,29.94,0.97,Working
1,23.12,0.81,Distracted
1,7.21,0.86,Working
1,19.33,0.49,Distracted
1,24.45,0.82,Distracted
1,10.86,0.92,Distracted
1,6.89,0.74,Working
0,30.16,0.1,Idle
1,24.91,0.87,Distracted
0,31.32,0.27,Idle
0,31.95,0.15,Idle
1,21.37,0.99,Distracted
1,12.64,0.72,Distracted
1,22.68,0.58,Distracted
0,27.58,0.31,Idle
0,39.97,0.35,Idle
1,10.43,0.81,Distracted
1,29.36,0.6,Distracted
1,17.18,0.57,Distracted
1,6.85,0.86,Working
1,4.81,0.62,Distracted
0,32.44,0.29,Idle
1,25.76,0.88,Distracted
1,20.84,0.78,Distracted
0,37.63,0.32,Idle
0,34.99,0.12,Idle
1,7.57,0.91,Working
1,10.1,0.79,Distracted
1,15.3,0.82,Distracted
1,20.39,0.63,Distracted
1,26.13,0.83,Distracted
1,21.44,0.95,Distracted
1,14.62,0.97,Distracted
1,18.65,0.99,Distracted
1,28.89,0.9,Distracted
1,19.92,0.95,Distracted
1,23.59,0.73,Distracted
1,18.93,1.0,Working
1,29.58,0.43,Distracted
1,27.66,0.9,Distracted
1,10.77,0.48,Distracted
1,9.69,0.78,Working
1,24.14,0.66,Distracted
1,28.31,0.53,Distracted
1,13.29,0.64,Distracted
1,10.81,0.63,Distracted
1,13.66,0.64,Distracted
1,2.09,0.88,Working
1,12.51,0.9,Distracted
1,17.62,0.97,Distracted
1,28.69,0.88,Distracted
1,4.83,0.81,Working
0,28.94,0.18,Idle
0,25.81,0.22,Idle
1,27.26,0.58,Distracted
1,0.45,0.8,Working
0,33.47,0.22,Idle
0,38.46,0.12,Idle
1,3.59,0.52,Distracted
1,16.18,0.88,Distracted
1,0.07,0.89,Working
1,22.02,0.42,Distracted
0,30.73,0.27,Idle
0,28.84,0.29,Idle
1,25.2,0.47,Distracted
1,9.55,0.96,Working
0,35.38,0.14,Idle
1,18.17,0.52,Distracted
0,34.23,0.3,Idle
1,26.99,0.45,Distracted
1,13.26,0.71,Distracted
0,33.22,0.26,Idle
1,6.2,0.77,Working
1,1.22,0.81,Working
1,25.38,0.52,Distracted
1,22.51,0.52,Distracted
1,27.79,0.65,Distracted
1,10.5,0.95,Distracted
1,4.24,0.97,Working
1,23.7,0.73,Distracted
1,21.35,0.6,Distracted
0,22.14,0.26,Idle
1,19.92,0.71,Distracted
0,25.34,0.23,Idle
1,9.51,0.75,Working
1,8.31,0.65,Distracted
1,23.82,0.83,Distracted
1,13.34,0.77,Distracted
1,21.12,0.73,Distracted
1,10.28,0.43,Distracted
1,12.52,0.73,Distracted
1,22.8,0.66,Distracted
1,28.33,0.68,Distracted
1,8.99,0.95,Working
1,12.36,0.99,Distracted
1,5.95,0.82,Working
1,14.95,0.95,Distracted
1,6.94,0.89,Working
1,6.51,0.54,Distracted
1,29.39,0.66,Distracted
0,36.07,0.11,Idle
1,16.8,0.82,Distracted
1,16.29,0.89,Distracted
1,16.98,0.65,Distracted
0,34.72,0.12,Idle
1,3.99,0.76,Working
1,16.19,0.88,Distracted
1,21.82,0.69,Distracted
1,28.89,0.87,Distracted
1,24.42,0.48,Distracted
0,39.71,0.39,Idle
1,11.57,0.55,Distracted
1,8.83,0.67,Distracted
1,27.03,0.79,Distracted
1,1.87,0.72,Working
1,28.67,0.68,Distracted
1,10.01,0.89,Distracted
0,39.46,0.14,Idle
1,9.56,0.63,Distracted
1,22.12,0.41,Distracted
1,19.85,0.59,Distracted
1,4.6,0.69,Distracted
1,14.88,0.79,Distracted
1,8.18,0.54,Distracted
1,20.16,0.92,Distracted
1,25.74,0.66,Distracted
1,12.49,0.98,Distracted
1,3.91,0.84,Working
1,19.83,0.97,Distracted
1,25.45,0.94,Distracted
1,29.9,0.7,Distracted
0,37.05,0.25,Idle
1,28.58,0.64,Distracted
1,0.17,0.72,Working
1,22.08,0.95,Distracted
0,31.74,0.16,Idle
1,20.03,0.56,Distracted
1,29.92,0.99,Distracted
0,32.95,0.23,Idle
1,7.39,0.85,Working
1,21.27,0.58,Distracted
1,0.56,0.89,Working
1,20.43,0.56,Distracted
1,22.3,0.9,Distracted
1,9.95,0.61,Distracted
1,4.15,0.49,Distracted
0,39.34,0.25,Idle
1,18.27,0.82,Distracted
1,28.62,0.45,Distracted
1,14.23,0.82,Distracted
1,23.61,0.81,Distracted
1,27.09,0.57,Distracted
1,6.15,0.93,Working
1,23.2,0.62,Distracted
1,14.08,0.58,Distracted
0,38.47,0.21,Idle
1,9.07,0.7,Distracted
1,10.75,0.64,Distracted
0,25.35,0.26,Idle
1,11.04,0.82,Distracted
1,15.81,0.91,Distracted
1,12.49,0.64,Distracted
1,5.18,0.86,Working
1,4.69,0.94,Working
1,3.61,0.85,Working
0,35.7,0.16,Idle
1,29.7,0.84,Distracted
1,0.91,0.84,Working
1,19.04,0.92,Distracted
1,20.66,0.67,Distracted
1,19.15,0.85,Distracted
1,10.68,0.55,Distracted
1,10.75,0.7,Distracted
0,34.14,0.17,Idle
1,20.58,0.68,Distracted
0,34.4,0.2,Idle
0,23.53,0.3,Idle
1,18.75,0.68,Distracted
0,26.22,0.26,Idle
0,34.7,0.34,Idle
1,21.37,0.44,Distracted
1,13.6,0.53,Distracted
0,21.78,0.21,Idle
1,25.96,0.46,Distracted
1,7.86,0.6,Distracted
0,29.67,0.33,Idle
1,7.36,0.65,Distracted
1,4.55,0.75,Working
0,26.31,0.3,Idle
1,7.94,0.78,Working
1,15.25,0.49,Distracted
1,20.03,0.86,Distracted
1,26.62,0.54,Distracted
1,12.96,0.79,Distracted
1,0.31,0.45,Distracted
1,16.52,0.95,Distracted
1,17.59,0.65,Distracted
0,27.42,0.13,Idle
1,11.8,0.82,Distracted
1,15.45,0.64,Distracted
0,32.55,0.29,Idle
1,1.11,0.9,Distracted
1,27.33,0.45,Distracted
1,23.71,0.94,Distracted
0,34.52,0.26,Idle
1,24.53,0.64,Distracted
1,28.9,0.7,Distracted
1,4.18,0.75,Working
1,28.71,0.91,Distracted
1,21.71,0.68,Distracted
1,20.09,0.82,Distracted
0,22.78,0.18,Idle
1,13.6,0.41,Distracted
1,9.96,0.54,Distracted
1,1.46,0.72,Working
1,4.09,0.82,Working
1,14.85,0.95,Distracted
1,14.33,0.54,Distracted
1,27.08,0.45,Distracted
0,31.24,0.19,Idle
1,7.16,0.97,Working
1,4.75,0.83,Working
1,29.53,0.56,Distracted
1,8.17,0.92,Working
0,24.78,0.21,Idle
1,8.52,0.6,Distracted
1,3.77,0.93,Working
1,6.38,0.7,Distracted
1,17.77,0.46,Distracted
1,22.28,0.84,Distracted
1,12.74,0.73,Distracted
1,5.99,0.99,Working
1,23.0,0.46,Distracted
1,10.34,0.75,Distracted
1,20.34,0.71,Distracted
1,12.69,0.4,Working
1,7.21,0.54,Distracted
0,21.82,0.26,Idle
1,11.86,0.67,Distracted
0,30.63,0.22,Idle
1,24.86,0.72,Distracted
1,17.9,0.91,Distracted
1,17.53,0.8,Distracted
1,26.08,0.81,Distracted
1,7.99,0.74,Working
1,2.4,0.49,Distracted
1,1.53,0.98,Working
1,1.38,0.64,Distracted
1,20.46,0.6,Distracted
1,16.22,0.69,Distracted
1,26.42,0.87,Distracted
1,26.93,0.99,Distracted
1,1.94,0.49,Distracted
1,14.64,0.77,Distracted
1,19.55,0.47,Distracted
0,32.05,0.34,Idle
1,22.05,0.53,Distracted
1,14.44,0.41,Distracted
0,30.53,0.11,Idle
1,27.87,0.5,Distracted
1,24.91,0.62,Distracted
1,16.02,0.89,Distracted
1,14.6,0.42,Distracted
1,1.04,0.43,Distracted
1,6.63,0.6,Distracted
1,19.94,0.84,Distracted
1,6.7,0.49,Distracted
1,28.92,0.88,Distracted
1,10.08,0.58,Distracted
1,8.5,0.63,Distracted
1,18.62,0.88,Distracted
1,11.32,0.63,Distracted
1,3.52,0.98,Working
0,28.89,0.18,Idle
1,0.94,0.9,Working
1,12.65,0.97,Distracted
1,14.46,0.93,Distracted
1,26.44,1.0,Distracted
1,22.7,0.94,Distracted
1,23.35,0.54,Distracted
1,22.5,0.54,Distracted
1,10.96,0.81,Distracted
1,11.89,0.67,Distracted
0,37.1,0.15,Idle
0,37.83,0.26,Idle
1,23.25,0.52,Distracted
0,29.86,0.24,Idle
1,14.03,0.84,Distracted
1,28.29,0.52,Working
1,27.04,0.51,Distracted
1,2.38,0.79,Working
1,2.38,0.69,Distracted
1,3.67,0.84,Working
1,22.66,0.87,Distracted
0,30.69,0.38,Idle
1,10.98,0.86,Distracted
1,13.22,0.52,Distracted
1,17.95,0.93,Distracted
1,15.93,0.74,Distracted
1,25.8,0.78,Distracted
1,10.76,0.84,Distracted
0,26.52,0.35,Idle
1,7.77,0.54,Distracted
0,25.08,0.2,Idle
1,9.73,1.0,Working
0,21.79,0.32,Idle
1,3.96,0.6,Distracted
1,19.54,0.67,Distracted
1,21.31,0.5,Distracted
0,35.02,0.19,Idle
1,18.43,0.57,Distracted
1,17.28,0.7,Distracted
1,6.19,0.89,Working
1,27.12,0.4,Distracted
1,19.1,0.48,Distracted
1,27.64,0.67,Distracted
1,2.35,0.94,Working
1,27.31,0.79,Distracted
1,10.12,0.81,Distracted
1,11.14,0.8,Distracted
1,19.57,0.65,Distracted
0,33.44,0.25,Idle
1,13.53,0.88,Distracted
1,20.01,0.85,Distracted
1,2.21,0.93,Working
0,23.95,0.36,Idle
1,9.81,0.58,Working
1,25.99,0.94,Distracted
1,0.89,0.44,Distracted
1,26.76,0.43,Distracted
1,13.64,0.53,Distracted
1,16.56,0.75,Distracted
1,24.68,0.72,Distracted
1,9.37,0.99,Working
1,22.3,0.69,Distracted
0,32.68,0.31,Idle
1,5.15,0.71,Working
1,17.78,0.99,Distracted
0,33.47,0.21,Idle
1,18.57,0.55,Distracted
1,25.89,0.44,Distracted
1,26.21,0.87,Distracted
0,26.81,0.27,Idle
1,9.61,0.54,Working
1,26.97,0.94,Distracted
0,29.54,0.16,Idle
1,10.84,0.43,Distracted
1,18.91,0.73,Distracted
1,29.06,0.78,Distracted
1,23.24,0.71,Distracted
0,36.36,0.22,Idle
0,35.28,0.37,Idle
1,27.35,0.86,Distracted
0,20.94,0.28,Idle
0,20.11,0.35,Idle
1,6.68,0.92,Working
1,11.92,0.95,Distracted
1,14.45,0.96,Distracted
0,22.52,0.21,Idle
1,4.38,0.62,Distracted
1,10.46,1.0,Distracted
1,2.39,0.58,Distracted
1,9.59,0.73,Working
1,0.84,0.52,Distracted
1,27.17,0.68,Distracted
1,2.19,1.0,Working
1,11.25,0.85,Distracted
1,25.73,0.72,Distracted
1,10.74,0.96,Distracted
1,4.25,0.7,Distracted
1,24.71,0.52,Distracted
1,23.07,0.45,Distracted
1,18.99,0.94,Distracted
1,0.58,0.53,Distracted
0,36.99,0.26,Idle
1,29.33,0.95,Distracted
1,22.14,0.43,Distracted
1,10.46,0.7,Distracted
1,25.23,0.41,Distracted
1,16.39,0.8,Distracted
1,8.84,0.53,Distracted
1,17.64,0.89,Distracted
0,28.04,0.17,Idle
1,20.7,0.77,Distracted
1,20.01,0.53,Distracted
0,24.42,0.2,Idle
1,22.12,0.63,Distracted
0,23.59,0.16,Idle
0,25.3,0.4,Idle
0,28.36,0.13,Idle
0,37.21,0.32,Idle
1,4.32,1.0,Working
1,21.87,0.93,Distracted
1,6.68,0.56,Distracted
1,28.12,0.57,Distracted
0,30.21,0.35,Idle
1,10.78,0.72,Distracted
1,21.52,0.86,Distracted
1,16.92,0.77,Distracted
1,22.35,0.81,Distracted
1,18.02,0.95,Distracted
1,17.8,0.59,Distracted
1,21.79,1.0,Distracted
1,18.09,0.47,Distracted
1,27.02,0.91,Distracted
1,17.66,0.76,Distracted
1,28.14,0.59,Distracted
1,15.4,0.89,Distracted
1,18.9,0.87,Distracted
1,11.35,0.95,Distracted
1,17.42,0.62,Distracted
0,33.01,0.29,Idle
1,23.11,0.7,Distracted
0,39.14,0.35,Idle
1,15.35,0.83,Distracted
0,31.2,0.21,Idle
1,15.9,0.69,Distracted
1,27.59,0.7,Distracted
1,20.45,0.75,Distracted
1,22.52,0.76,Distracted
1,25.84,0.57,Distracted
1,5.44,0.77,Working
1,11.38,0.76,Distracted
1,10.2,0.41,Working
0,34.94,0.36,Idle
0,24.42,0.13,Idle
1,4.86,0.71,Working
1,6.08,0.7,Working
0,27.08,0.34,Idle
0,37.15,0.22,Idle
1,14.98,0.57,Distracted
1,3.62,0.51,Distracted
1,16.65,0.47,Distracted
1,9.85,0.62,Distracted
1,2.62,0.58,Distracted
1,4.83,0.69,Distracted
1,14.65,0.93,Distracted
1,29.28,0.48,Distracted
1,0.0,0.89,Working
0,34.12,0.21,Idle
0,36.9,0.24,Idle
1,29.81,0.47,Distracted
1,16.54,0.72,Distracted
1,4.94,0.69,Distracted
1,11.61,0.44,Distracted
1,28.99,0.84,Distracted
1,23.88,0.62,Distracted
1,13.18,0.61,Distracted
0,39.71,0.16,Idle
1,1.61,0.48,Distracted
0,31.99,0.28,Idle
1,13.12,0.69,Distracted
1,10.66,0.43,Distracted
0,26.83,0.34,Idle
1,5.8,0.43,Distracted
1,19.07,0.82,Working
1,21.44,0.49,Distracted
1,13.68,0.96,Distracted
1,5.85,0.77,Working
0,30.13,0.16,Idle
1,6.09,0.58,Distracted
1,20.02,0.5,Distracted
1,5.57,0.84,Working
1,25.38,0.6,Distracted
1,15.92,0.86,Distracted
1,21.11,0.96,Distracted
0,20.73,0.19,Idle
1,5.65,0.78,Working
1,20.9,0.86,Distracted
1,22.96,0.6,Distracted
1,19.19,0.88,Distracted
1,25.92,0.78,Distracted
1,28.28,0.59,Distracted
1,15.94,0.99,Distracted
1,5.08,0.9,Working
0,38.72,0.35,Idle
1,2.45,0.95,Working
1,12.64,0.51,Distracted
1,5.34,0.48,Distracted
1,27.25,0.62,Distracted
1,6.88,0.68,Distracted
1,4.64,0.77,Working
1,3.58,0.86,Working
1,13.18,0.76,Distracted
0,35.63,0.23,Idle
1,22.86,0.67,Distracted
0,24.44,0.11,Idle
1,19.15,0.96,Distracted
0,33.46,0.28,Idle
1,23.28,0.9,Distracted
1,22.6,0.93,Distracted
1,10.65,0.81,Distracted
1,5.53,0.96,Working
1,28.58,0.66,Distracted
1,8.84,0.62,Distracted
1,17.46,0.59,Distracted
1,20.49,0.89,Distracted
1,8.58,0.7,Distracted
1,29.45,0.77,Distracted
1,8.6,0.71,Working
0,36.19,0.19,Idle
1,12.83,0.42,Distracted
1,7.39,0.56,Working
1,2.95,0.79,Working
1,28.04,0.65,Distracted
1,1.57,1.0,Working
1,1.08,0.57,Distracted
1,17.87,0.51,Distracted
1,21.82,0.8,Distracted
1,23.34,0.91,Distracted
1,14.9,0.55,Distracted
1,24.98,0.99,Distracted
1,14.11,0.45,Distracted
0,34.67,0.37,Idle
1,23.91,0.96,Distracted
1,9.27,0.71,Working
1,5.7,0.51,Distracted
1,4.32,0.75,Working
1,20.3,0.76,Distracted
1,8.05,0.86,Working
1,19.96,0.52,Distracted
0,34.51,0.28,Idle
0,28.51,0.27,Idle
1,11.1,0.83,Distracted
1,3.13,0.83,Distracted
1,13.94,0.97,Distracted
1,2.79,0.87,Working
1,22.16,0.43,Distracted
1,7.28,0.76,Working
1,17.88,0.5,Distracted
1,28.88,0.84,Distracted
0,39.05,0.31,Idle
0,22.42,0.25,Idle
1,2.16,0.64,Distracted
1,8.07,0.97,Working
0,39.8,0.32,Idle
1,27.79,0.44,Distracted
1,5.83,0.67,Distracted
1,7.16,0.93,Working
1,9.27,0.63,Distracted
1,3.24,0.74,Working
0,23.91,0.21,Idle
0,35.15,0.27,Idle
1,19.84,0.48,Distracted
1,29.8,0.71,Distracted
1,22.13,0.75,Distracted
0,39.2,0.26,Idle
1,4.09,0.75,Working
0,34.09,0.17,Idle
1,1.18,0.52,Distracted
1,15.82,0.62,Distracted
1,6.69,0.86,Working
1,17.64,0.94,Distracted
1,29.17,0.89,Distracted
1,27.16,0.47,Distracted
0,24.17,0.33,Idle
1,6.3,0.77,Working
1,25.4,0.65,Distracted
0,25.2,0.17,Idle
1,29.73,0.95,Distracted
0,36.11,0.33,Idle
0,29.6,0.31,Idle
0,21.43,0.26,Idle
0,34.72,0.36,Idle
1,17.55,0.63,Distracted
1,21.48,0.65,Distracted
1,27.25,0.79,Distracted
1,8.19,0.94,Working
1,22.15,0.71,Distracted
1,17.56,0.64,Distracted
1,28.74,0.41,Distracted
1,1.61,0.73,Working
1,10.94,0.44,Distracted
1,12.4,0.87,Distracted
0,29.2,0.28,Idle
0,29.65,0.11,Idle
0,39.09,0.14,Idle
1,13.23,0.64,Distracted
1,20.44,0.58,Distracted
1,22.29,0.99,Distracted
1,26.34,0.93,Distracted
1,12.58,0.55,Distracted
1,19.55,0.47,Distracted
1,3.3,0.9,Working
1,14.87,0.82,Distracted
1,12.09,0.47,Distracted
1,23.88,0.46,Distracted
1,25.75,0.58,Distracted
1,8.26,0.99,Working
1,24.67,0.74,Distracted
1,17.25,0.58,Distracted
1,16.28,0.71,Distracted
1,15.47,0.86,Distracted
1,20.15,0.42,Distracted
1,5.55,0.89,Working
1,6.35,0.78,Working
1,13.28,0.88,Distracted
1,4.51,0.93,Working
0,39.95,0.34,Idle
0,28.02,0.15,Idle
1,21.64,0.56,Distracted
1,8.41,0.98,Working
1,28.85,0.98,Distracted
1,3.0,0.64,Distracted
0,26.53,0.11,Idle
0,33.32,0.21,Idle
1,0.93,0.63,Distracted
0,30.84,0.27,Idle
1,3.1,0.44,Distracted
1,11.9,0.76,Distracted
1,0.08,0.68,Distracted
1,2.9,0.69,Distracted
1,23.14,0.61,Distracted
0,37.2,0.26,Idle
1,16.69,0.82,Distracted
1,17.53,0.57,Distracted
1,2.3,0.46,Distracted
1,15.39,0.88,Distracted
1,24.49,0.57,Distracted
1,20.03,0.55,Distracted
1,15.58,0.71,Distracted
1,28.0,0.44,Distracted
0,30.8,0.27,Idle
1,19.43,0.53,Distracted
0,37.94,0.36,Idle
1,27.92,0.55,Distracted
1,18.97,0.47,Distracted
1,0.29,0.49,Distracted
1,11.51,0.83,Distracted
1,28.45,0.71,Distracted
1,0.71,0.41,Distracted
1,23.71,0.68,Distracted
1,26.73,0.42,Distracted
1,22.92,0.63,Distracted
1,18.5,0.74,Distracted
0,24.46,0.21,Idle
1,1.82,0.76,Working
1,7.92,0.89,Working
1,6.11,0.7,Distracted
0,35.06,0.37,Idle
1,28.1,0.43,Distracted
0,29.36,0.16,Idle
0,27.41,0.37,Idle
1,28.88,0.91,Distracted
0,30.32,0.31,Idle
1,0.94,0.55,Distracted
0,24.41,0.11,Idle
1,26.6,0.97,Distracted
1,16.65,0.76,Distracted
1,12.81,0.9,Distracted
1,6.52,0.95,Working
1,8.65,0.97,Working
1,8.01,0.99,Working
1,12.38,0.44,Distracted
1,21.88,0.72,Distracted
1,18.4,0.8,Distracted
1,13.67,0.83,Distracted
1,11.61,0.52,Distracted
0,24.39,0.39,Idle
0,36.75,0.38,Idle
1,21.19,0.48,Distracted
1,7.13,0.67,Distracted
1,11.58,0.91,Distracted
0,30.22,0.19,Idle
0,28.23,0.34,Idle
1,22.7,0.84,Distracted
1,5.72,0.56,Distracted
1,2.89,0.86,Working
1,10.6,0.77,Distracted
1,19.93,0.44,Distracted
1,2.06,0.41,Distracted
0,21.79,0.22,Idle
1,2.18,0.66,Distracted
0,29.46,0.22,Idle
1,13.98,0.52,Distracted
0,30.54,0.16,Idle
0,25.63,0.22,Idle
1,9.85,0.92,Working
1,19.4,0.78,Distracted
1,17.7,0.98,Distracted
1,5.42,0.46,Distracted
1,4.8,0.85,Working
1,12.81,0.92,Distracted
1,13.29,0.83,Distracted
0,27.41,0.14,Idle
0,33.54,0.29,Idle
1,11.75,0.4,Distracted
1,21.85,0.73,Distracted
1,8.07,0.78,Working
1,18.37,0.55,Distracted
1,20.92,0.63,Distracted
1,19.02,0.97,Distracted
0,28.48,0.28,Idle
1,6.82,0.67,Distracted
0,34.82,0.24,Idle
1,23.01,0.5,Distracted
1,4.63,0.61,Distracted
1,14.12,0.61,Distracted
1,22.12,0.78,Distracted
1,7.55,0.62,Distracted
1,6.65,0.5,Distracted
0,38.95,0.23,Idle
0,20.45,0.36,Idle
1,14.49,0.74,Working
0,24.14,0.27,Idle
0,21.92,0.24,Idle
1,28.71,0.78,Distracted
1,4.22,0.86,Working
1,24.92,0.96,Distracted
1,6.07,0.82,Working
1,10.62,0.79,Distracted
0,22.54,0.39,Idle
1,11.22,0.42,Distracted
1,3.49,0.98,Working
1,4.17,0.78,Working
1,17.08,0.44,Distracted
1,18.32,0.53,Distracted
0,37.59,0.28,Idle
1,12.55,0.54,Distracted
1,15.97,0.73,Distracted
0,27.41,0.11,Idle
1,19.55,0.93,Distracted
0,26.7,0.32,Idle
1,15.45,0.77,Distracted
1,7.89,0.41,Distracted
0,29.06,0.11,Idle
1,18.98,0.61,Distracted
0,36.36,0.16,Idle
1,20.0,0.83,Working
1,10.29,0.95,Distracted
1,18.72,0.71,Distracted
1,5.44,0.68,Distracted
1,24.18,0.77,Distracted
1,14.3,0.66,Distracted
1,5.62,0.56,Distracted
1,25.53,0.85,Distracted
0,22.46,0.38,Idle
1,2.9,0.83,Working
0,23.28,0.37,Idle
1,6.38,0.84,Working
1,9.97,0.76,Working
1,29.92,0.61,Distracted
1,3.17,0.79,Working
1,14.72,0.6,Distracted
0,32.07,0.28,Idle
1,13.19,0.74,Distracted
1,13.89,0.72,Distracted
1,26.11,0.41,Distracted
1,20.81,0.63,Distracted
1,13.58,0.54,Distracted
1,4.46,0.6,Distracted
0,38.98,0.17,Idle
1,6.81,0.85,Working
1,7.39,0.99,Working
1,8.34,0.67,Distracted
1,27.37,0.4,Distracted
1,19.72,0.92,Working
1,22.78,0.85,Distracted
1,28.3,0.75,Distracted
1,21.57,0.99,Distracted
0,29.49,0.17,Idle
0,33.3,0.37,Idle
0,20.14,0.17,Idle
1,5.9,0.71,Working
1,10.61,0.52,Distracted
1,27.09,0.65,Distracted
0,26.52,0.37,Idle
1,8.36,0.85,Working
1,29.34,0.7,Distracted
0,39.09,0.24,Idle
1,19.13,0.64,Distracted
1,14.74,0.84,Distracted
1,7.84,0.56,Distracted
1,1.16,0.56,Distracted
0,24.58,0.13,Idle
1,27.93,0.76,Distracted
1,28.08,0.54,Distracted
1,6.27,0.47,Working
1,26.45,0.54,Distracted
1,3.76,0.67,Distracted
1,29.14,0.61,Distracted
1,25.04,0.57,Distracted
1,10.84,0.65,Distracted
1,22.84,0.95,Distracted
0,27.48,0.38,Idle
1,1.53,0.92,Working
0,29.56,0.22,Idle
1,27.12,0.72,Distracted
1,26.12,0.95,Distracted
1,22.49,0.81,Distracted
1,16.28,0.91,Distracted
1,12.4,0.48,Distracted
1,1.45,0.77,Working
0,33.52,0.35,Idle
1,21.08,0.71,Distracted
0,22.04,0.34,Idle
1,23.93,0.66,Distracted
1,14.78,0.55,Distracted
1,9.24,0.61,Distracted
1,28.94,0.73,Distracted
0,28.04,0.31,Idle
0,36.19,0.16,Idle
1,22.95,0.66,Distracted
